snapshot_date,project_name,client,bu,account_manager,project_manager,tech_lead,lifecycle,start_date,end_date,duration,overall_rating,quality,team_confidence,budget_health,delivery_health,team_wellbeing,customer_satisfaction,scope_health,billing,scope,budget,piia_review,milestones,documentation,linked_projects,high_care,budget_score,delivery_score,team_score,csat_score,scope_health_score,active,modified,modified_by,risk_issue_status
2026-05-01,Model Risk - Viabhav Extension,Absa,Cloud,Tashia Hillebrand,,Vaibhav Singh,Execution,2026-01-01,2026-03-31,3 Months (12months likely),4.80,4 - Meets quality expectations,4 - Confident,"5 - On or under budget (0–5% variance), scope fully delivered",5 - On schedule or ahead of schedule,"4 - Mostly positive, some stress but team is coping well","5 - Customer is highly satisfied, gives proactive praise, strong relationship",5 - Scope and quality fully intact,Time & Materials,Variable Scope,"ZAR 804,384.00",We do not deal with Personal Information/Sensitive Data,,,[],false,5,5,4,5,5,true,2026-05-07,Tayla Boni,To be advised
2026-05-01,Absa CIB Market Suite Mobilisation (AWS Funded),Absa,Cloud,Tashia Hillebrand,Nick Dempster,Chad Epstein,Execution,2025-10-01,2026-08-31,11 Months,3.15,4 - Meets quality expectations,3 - Somewhat Confident,3 - Underspent by 11–15% – potential underutilization or overestimation,"3 - Moderate delays (e.g. 3–4 weeks), risk to next milestone but manageable","2 - Low morale, growing disengagement or burnout risks","4 - Generally satisfied, minor issues raised and addressed quickly","4 - Minor scope changes or quality adjustments, well-managed and approved. No major risk.",Fixed Billing,Fixed Deliverables,"ZAR 15,943,218",All Personal Information/Sensitive Data is managed by the Client,,,[],true,3,3,2,4,4,true,2026-05-04,Nick Dempster,Risks/Issues Require Support
2026-05-01,Absa CIB Application Maturity Project (Chris M),Absa,Cloud,Tashia Hillebrand,,Chris Muyaruka,Execution,2026-01-26,2026-06-30,5 Months,4.50,"5 - Excellent Quality, Exceeds expectations",4 - Confident,"5 - On target with estimated effort and revenue (+/–5%), with appropriate scope delivery","4 - Minor delays (e.g. 1–2 weeks), no impact on major milestones","5 - High morale, good collaboration, minimal stress or burnout signs","4 - Generally satisfied, minor issues raised and addressed quickly","4 - Minor scope changes or quality adjustments, well-managed and approved. No major risk.",Time & Materials,Variable Scope,"ZAR 788,810.00",To be assessed,,,Absa CIB Application Maturity Project (Hasnain T&M),false,5,4,5,4,4,true,2026-05-04,Tayla Boni,To be advised
2026-05-01,Absa CIB Sigma Application Migration - Team Augmentation,Absa,Cloud,Tashia Hillebrand,,Sajjad Khan,Execution,2026-01-05,2026-12-31,12 Months,5.00,4 - Meets quality expectations,5 - Extremely Confident,"5 - On target with estimated effort and revenue (+/–5%), with appropriate scope delivery",5 - On schedule or ahead of schedule,"5 - High morale, good collaboration, minimal stress or burnout signs","5 - Customer is highly satisfied, gives proactive praise, strong relationship",5 - Scope and quality fully intact,Fixed Billing,Variable Scope,"ZAR 2,460,000.00",To be assessed,,,[],false,5,5,5,5,5,true,2026-05-04,Tayla Boni,To be advised
2026-05-01,Absa CIB Application Maturity Project (Hasnain T&M),Absa,Cloud,Tashia Hillebrand,,Hasnain Tahir,Execution,2026-01-26,2026-06-30,5 Months,5.00,"5 - Excellent Quality, Exceeds expectations",5 - Extremely Confident,"5 - On or under budget (0–5% variance), scope fully delivered",5 - On schedule or ahead of schedule,"5 - High morale, good collaboration, minimal stress or burnout signs","5 - Customer is highly satisfied, gives proactive praise, strong relationship",5 - Scope and quality fully intact,Time & Materials,Variable Scope,"ZAR 1 086 500,00",To be assessed,,,Absa CIB Application Maturity Project (Chris M),false,5,5,5,5,5,true,2026-05-04,Tayla Boni,To be advised
2026-05-01,Absa CIB - Loan Optimisation AI Use Case Extension (Q1 2026),Absa,Data,Tashia Hillebrand,Nick Dempster,Massimo Predieri,Execution,2026-02-02,2026-07-31,FOO: 6 Months,5.00,"5 - Excellent Quality, Exceeds expectations",5 - Extremely Confident,"5 - On target with estimated effort and revenue (+/–5%), with appropriate scope delivery",5 - On schedule or ahead of schedule,"5 - High morale, good collaboration, minimal stress or burnout signs","5 - Customer is highly satisfied, gives proactive praise, strong relationship",5 - Scope and quality fully intact,Fixed Billing,Variable Scope,"ZAR 2,300,000.00",This project deals with Personal Information/Sensitive Data,,,Absa CIB - Loan Optimisation AI Use Case SOW,false,5,5,5,5,5,true,2026-05-04,Nick Dempster,Risks/Issue Visible & Managed
2026-05-01,Absa Senior PM and Migration Assurance Lead,Absa,Cloud,Tashia Hillebrand,Shaun Victor,Aabhas Sinha,Execution,2026-04-01,2026-12-15,8 Months,4.85,"5 - Excellent Quality, Exceeds expectations",4 - Confident,"5 - On or under budget (0–5% variance), scope fully delivered","4 - Minor delays (e.g. 1–2 weeks), no impact on major milestones","5 - High morale, good collaboration, minimal stress or burnout signs","5 - Customer is highly satisfied, gives proactive praise, strong relationship",5 - Scope and quality fully intact,Fixed Billing,Variable Scope,"ZAR 5,287,031.2",To be assessed,,,[],false,5,4,5,5,5,true,2026-05-07,Tayla Boni,To be advised
2026-05-01,AlBaraka | Project | Cloud PS | IPSEC Tunnel Planned Change / Service Request 1,Albaraka,Cloud,Lesley van den Heever,Kovishnee Moodley,Tendai Musonza,Execution,2026-03-06,2027-03-08,1 year,5.00,4 - Meets quality expectations,5 - Extremely Confident,"5 - On target with estimated effort and revenue (+/–5%), with appropriate scope delivery",5 - On schedule or ahead of schedule,"5 - High morale, good collaboration, minimal stress or burnout signs","5 - Customer is highly satisfied, gives proactive praise, strong relationship",5 - Scope and quality fully intact,Time & Materials,Fixed Deliverables,35136,We do not deal with Personal Information/Sensitive Data,"Customer email request: firewall refresh, IPSEC tunnel migration from Cisco to FortiGate, cutover 07-03-2026 14:00 SAST.",,[],false,5,5,5,5,5,true,2026-04-28,Carly Garmany,To be advised
2026-05-01,Avenews GT - Project - Team extension,Avenews GT,Data,Darren Bak,,Zander Rosslee,Execution,2026-03-02,,TBC,5.00,4 - Meets quality expectations,4 - Confident,"5 - On target with estimated effort and revenue (+/–5%), with appropriate scope delivery",5 - On schedule or ahead of schedule,"5 - High morale, good collaboration, minimal stress or burnout signs","5 - Customer is highly satisfied, gives proactive praise, strong relationship",5 - Scope and quality fully intact,Fixed Billing,Variable Scope,USD 106 356,To be assessed,,,[],false,5,5,5,5,5,true,2026-05-04,Tayla Boni,Risks/Issues Not Visible or Managed
2026-05-01,AWS MSK/Flink ML Engineer Extension,Capitec,Data,Angelique Joubert,,Enoch Chandayengerwa,Execution,2026-03-02,2027-02-28,12 Months,5.00,"3 - Some quality issues, being managed",4 - Confident,"5 - On or under budget (0–5% variance), scope fully delivered",5 - On schedule or ahead of schedule,"5 - High morale, good collaboration, minimal stress or burnout signs","5 - Customer is highly satisfied, gives proactive praise, strong relationship",5 - Scope and quality fully intact,,,"ZAR 2,432,576.00",To be assessed,,,[],false,5,5,5,5,5,true,2026-05-04,Tayla Boni,Risks/Issues Not Visible or Managed
